ID, STATION,RIDES,COMMENT,WIDTH,HEIGHT
255,HOYT ST-SCHERMERHORN ST       ,2438,,,
256,FRANKLIN AVENUE-FULTON ST     ,2386,,,
257,34TH STREET & 6TH AVENUE      ,2370,,,
258,BEDFORD AVENUE-NOSTRAND AVE   ,2358,,,
259,HOUSTON STREET-VARICK ST      ,2352,,,
260,BROAD STREET & WALL STREET    ,2340,,,
261,BURKE AVE-WHITE PLAINS ROAD   ,2336,,,
262,57TH STREET & 7TH AVENUE      ,2334,,,
263,KNICKERBOCKER AVE-MYRTLE AV   ,2334,,,
264,MOTT AVENUE-BEACH 22ND ST     ,2320,,,
265,CANAL STREET                  ,2299,,,
266,238TH ST-WHITE PLAINS ROAD    ,2297,,,
267,34TH STREET & 7TH AVENUE      ,2287,,,
268,ASTOR PLACE-4 AVENUE          ,2283,,,
269,SPRING STREET-6TH AVENUE      ,2255,,,
270,BEACH 25TH STREET-WAVECREST   ,2241,,,
271,MYRTLE AVENUE-MARCY AVENUE    ,2225,,,
272,WILSON AVENUE-MOFFAT STREET   ,2206,,,
273,WALL STREET                   ,2191,,,
274,KINGSTON AVE/EASTERN PKWY     ,2187,,,
275,85TH STREET & FOREST PKWAY    ,2172,,,
276,BROADWAY - UNION AVENUE       ,2172,,,
277,ROOSEVELT ISLAND              ,2162,,,
278,VAN SICLEN AVENUE             ,2155,,,
279,18TH AVENUE-62ND STREET       ,2153,,,
280,WOODHAVEN BOULEVARD           ,2151,,,
281,163RD ST & AMSTERDAM AVE      ,2148,,,
282,174TH-175TH ST-GRAND CONCOU   ,2144,,,
283,VAN SICLEN AVENUE-FULTON ST   ,2143,,,
284,CANAL STREET-LISPENARD ST     ,2141,,,
285,AVENUE U-EAST 16TH STREET     ,2123,,,
286,ASTORIA BLVD & 31ST STREET    ,2108,,,
287,PARKSIDE AVE-OCEAN AVE        ,2087,,,
288,ST LAWRENCE AVE-WEST AVE      ,2074,,,
289,190TH STREET-OVERLOOK TERR    ,2057,,,
290,BEVERLEY ROAD -EAST 15TH ST   ,2039,,,
291,EAST 105TH ST-FARRAGUT ROAD   ,2015,,,
292,BAY PARKWAY-86TH STREET       ,2011,,,
293,KINGS HIGHWAY-WEST 7TH ST     ,2004,,,
294,LAFAYETTE AV-WASHINGTON AV    ,2002,,,
295,DYRE AVENUE-LIGHT STREET      ,1995,,,
296,CYPRESS AVENUE-138TH STREET   ,1964,,,
297,CLINTON AVENUE-FULTON ST      ,1962,,,
298,42ND STREET & 8TH AVENUE      ,1952,,,
299,21ST STREET-QUEENSBRIDGE      ,1943,,,
300,18TH STREET-7TH AVENUE        ,1942,,,
301,LIBERTY AVE-PENNSYLVANIA AV   ,1942,,,
302,FRESH POND ROAD-68TH AVENUE   ,1923,,,
303,145TH STREET-LENOX AVENUE     ,1922,,,
304,96TH ST-CENTRAL PARK WEST     ,1915,,,
305,JUNIUS STREET                 ,1913,,,
306,NEPTUNE AVE-MCDONALD AVENUE   ,1909,,,
307,7TH AVENUE-PARK PLACE         ,1905,,,
308,FORT HAMILTON PKWY-45TH ST    ,1892,,,
309,HUDSON STREET-78TH STREET     ,1883,,,
310,BRONX PARK EAST               ,1855,,,
311,MORGAN AVENUE-HARRISON PL     ,1841,,,
312,CHAUNCEY STREET-ROCKAWAY AV   ,1839,,,
313,AVENUE I-MCDONALD AVENUE      ,1828,,,
314,20TH AVENUE-86TH STREET       ,1816,,,
315,52ND STREET-ROOSEVELT AVE     ,1803,,,
316,CLASSON AVENUE-LAFAYETTE AV   ,1794,,,
317,28TH STREET-PARK AVE SOUTH    ,1790,,,
318,FT HAMILTON PKY-GREENWOOD     ,1787,,,
319,STRAITON AVE-BEACH 60TH ST    ,1787,,,
320,103RD ST-CENTRAL PARK WEST    ,1767,,,
321,42ND STREET & GRAND CENTRAL   ,1742,,,
322,LEFFERTS BLVD-LIBERTY AVE     ,1739,,,
323,81ST STREET-MUSEUM            ,1738,,,
324,METROPOLITAN AVENUE           ,1724,,,
325,86TH STREET-AVENUE V          ,1702,,,
326,GREENPOINT AVE                ,1681,,,
327,NECK ROAD-EAST 16TH STREET    ,1656,,,
328,63RD STREET-LEXINGTON AVE     ,1642,,,
329,59TH STREET & LEXINGTON AVE   ,1640,,,
330,42ND STREET & 6TH AVENUE      ,1639,,,
331,MIDDLETOWN ROAD-WESTCHESTER   ,1630,,,
332,8TH STREET & BROADWAY         ,1628,,,
333,CENTRAL AVE-MYRTLE AVE        ,1627,,,
334,NORTHERN BLVD-BROADWAY        ,1625,,,
335,PELHAM BAY PARK-BRUCKNER BL   ,1607,,,
336,RECTOR STREET-GREENWICH ST    ,1606,,,
337,23RD STREET & 5TH AVENUE      ,1598,,,
338,ZEREGA AVE-WESTCHESTER AVE    ,1592,,,
339,18TH AVENUE-86TH STREET       ,1567,,,
340,BLEECKER ST-LAFAYETTE ST      ,1551,,,
341,69TH STREET-ROOSEVELT AVE     ,1549,,,
342,FOREST AVENUE-PUTNAM AVENUE   ,1537,,,
343,JEFFERSON STREET-WYCKOFF AV   ,1517,,,
344,71ST STREET-NEW UTRECHT AVE   ,1509,,,
345,36TH STREET-NORTHERN BLVD     ,1505,,,
346,3RD AVENUE-14TH STREET        ,1499,,,
347,104TH STREET                  ,1494,,,
348,PRINCE STREET & BROADWAY      ,1493,,,
349,BAY RIDGE - 95TH STREET       ,1470,,,
350,WALL STREET                   ,1470,,,
